Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1796,17.044,19.193,22.319,27.233,30.035,29.261,26.8,26.558,25.958,24.031,20.186,15.485
1797,,,22.879,26.502,29.364,29.88,26.891,26.716,26.072,23.67,19.323,17.102
1798,17.226,19.525,24.328,,,29.369,27.968,27.009,25.973,23.898,20.709,16.728
1799,16.648,17.976,23.08,27.996,30.217,29.86,27.178,26.674,26.105,24.597,20.158,16.904
1800,17.081,19.78,22.938,28.458,29.372,29.261,26.494,26.069,24.999,24.318,20.625,17.548
1801,17.433,18.868,25.084,,,28.652,27.272,26.075,25.598,24.001,20.492,18.276
1802,17.904,19.734,24.829,27.816,29.209,30.397,27.826,26.581,26.699,24.564,20.258,16.795
1803,15.603,18.271,23.323,28.265,30.257,29.643,27.876,27.79,26.732,24.319,20.749,16.921
1804,17.443,19.11,23.215,29.131,30.692,29.952,28.694,26.788,26.513,24.164,21.624,16.583
1805,17.173,19.036,23.942,27.034,30.077,29.959,27.069,27.213,25.936,22.831,19.951,18.085
1806,17.092,19.019,23.013,27.359,29.971,28.054,26.995,26.888,26.855,23.754,20.452,17.662
1807,15.975,18.799,,,27.873,29.541,27.631,26.447,26.465,23.586,20.375,18.304
1808,,,,,,,,,,,,
1809,,,,,,,,,,,,
1810,,,,,,,,,,,,
1811,,,,,,,,,,,,
1812,,,,,,,,,,,,
1813,14.479,18.549,21.409,27.898,30.54,28.332,26.881,25.304,25.773,23.198,21.076,15.816
1814,15.45,18.596,22.213,26.526,,28.93,25.53,25.325,24.583,22.5,21.007,18.571
1815,15.915,19.157,22.208,27.332,29.24,26.523,26.316,25.577,25.154,22.034,18.865,15.372
1816,16.376,16.251,22.414,26.301,29.514,28.163,25.06,24.848,23.977,21.404,18.967,15.813
1817,15.916,18.828,22.551,27.052,28.28,27.135,25.614,25.669,23.313,21.903,19.313,15.572
1818,16.076,18.023,23.085,27.783,29.952,28.889,25.302,24.729,24.058,22.026,19.335,16.178
1819,14.385,17.616,22.021,26.019,28.662,28.244,25.901,25.169,24.613,23.262,19.983,15.968
1820,14.902,17.539,22.622,27.626,29.083,28.243,25.972,24.849,24.896,22.787,19.562,16.008
1821,17.268,19.933,23.809,26.623,29.613,28.564,26.174,25.669,24.188,23.045,20.411,17.034
1822,17.522,20.712,25.528,27.135,29.57,28.46,26.667,25.142,24.52,22.519,19.336,16.058
1823,16.882,19.361,23.47,27.77,29.427,29.279,26.703,25.162,23.894,23.159,19.397,17.149
1824,17.323,19.326,23.737,27.524,29.551,29.33,28.039,25.948,25.79,22.748,20.546,18.735
1825,17.412,19.554,23.61,27.947,29.516,29.196,26.856,25.331,24.905,23.159,21.021,17.046
1826,17.047,18.351,23.743,27.814,30.463,28.352,27.152,25.162,24.969,23.612,21.067,18.576
1827,17.876,19.791,24.153,28.18,29.563,28.975,27.285,25.736,24.674,23.26,21.007,16.977
1828,16.118,18.766,23.678,27.24,29.547,29.688,27.167,25.722,23.899,23.406,20.851,17.402
1829,16.815,18.199,23.331,27.007,29.775,28.769,26.73,25.577,24.601,23.758,19.862,16.898
1830,17.047,19.756,23.056,27.494,27.903,28.626,27.355,25.439,24.538,23.198,21.574,18.082
1831,16.565,19.147,23.557,26.69,29.921,29.209,26.245,24.907,24.056,22.794,19.301,16.508
1832,16.078,18.202,23.534,27.598,29.973,,27.105,25.394,24.211,23.036,19.455,
1833,16.995,19.381,23.141,26.902,28.941,29.161,26.9,25.213,24.817,22.958,20.702,17.468
1834,15.609,19.172,23.655,26.768,30.234,28.376,26.552,25.474,25.195,23.129,20.486,17.704
1835,16.966,19.085,22.397,26.15,28.282,27.61,25.674,24.582,24.038,22.62,18.8,15.693
1836,16.279,18.658,22.974,26.581,29.178,28.739,26.399,25.049,25.011,23.705,19.315,17.222
1837,16.974,19.469,22.557,25.811,28.233,28.064,26.407,25.428,25.252,23.036,19.7,17.264
1838,14.552,18.164,22.433,27.11,28.662,28.632,27.264,25.756,25.333,23.542,19.936,16.931
1839,17.08,19.788,21.856,27.024,28.879,28.301,26.879,25.681,24.73,23.599,18.948,16.172
1840,17.353,19.266,22.937,27.185,29.242,28.615,27.185,25.486,24.75,23.075,19.404,16.844
1841,16.706,19.124,22.343,26.193,28.79,28.487,27.141,25.486,25.078,22.989,19.971,16.821
1842,16.59,19.183,23.559,27.206,29.148,28.21,26.667,25.333,24.59,23.055,19.829,17.601
1843,17.105,19.783,22.84,26.628,28.404,28.228,26.735,25.625,25.035,23.177,19.531,16.657
1844,16.37,17.971,23.072,26.745,28.368,28.341,26.32,25.485,24.646,23.156,19.836,16.819
1845,16.9,18.51,23.43,26.783,29.158,28.252,26.902,25.795,25.258,23.05,19.824,16.256
1846,17.963,19.517,24.426,26.804,29.276,28.723,27.418,26.14,25.14,22.828,20.151,17.244
1847,17.203,19.184,22.714,27.143,28.803,28.256,26.877,25.736,25.202,23.179,19.965,15.558
1848,15.931,19.245,22.931,26.672,28.837,27.942,26.885,25.693,25.08,23.107,19.552,16.856
1849,16.002,18.572,23.277,26.931,28.961,27.975,26.631,25.641,25.006,23.396,20.333,15.966
1850,15.898,18.741,22.975,26.744,28.587,28.79,27.063,26.111,25.492,24.488,20.602,16.564
1851,16.091,18.646,22.994,26.714,29.508,28.498,26.798,26.045,25.681,24.015,19.906,16.926
1852,16.816,19.474,22.372,26.567,29.053,28.549,26.79,25.687,25.395,23.374,19.466,16.997
1853,15.862,18.969,23.503,26.995,29.598,29.362,27.497,26.145,25.714,23.549,19.694,17.097
1854,16.844,18.469,23.49,26.871,29.674,28.847,27.28,26.168,25.409,24.276,20.507,17.274
1855,17.122,19.491,23.327,27.919,30.131,28.851,27.083,26.162,25.429,23.376,19.943,16.271
1856,16.928,19.006,23.084,26.949,29.095,28.716,26.478,24.847,24.87,22.99,19.765,16.776
1857,16.039,18.305,22.687,26.196,28.663,27.666,26.262,25.531,25.11,22.736,19.622,16.757
1858,17.017,18.986,23.347,27.872,29.408,28.51,26.404,25.707,25.259,23.707,20.666,16.318
1859,16.65,19.179,23.664,27.814,29.891,28.818,26.559,25.559,25.1,23.766,20.244,16.809
1860,16.324,18.812,22.138,27.185,29.518,28.86,26.882,26.149,25.839,23.672,19.835,15.548
1861,15.27,18.336,23.034,26.995,29.198,28.588,26.642,25.819,25.318,23.41,20.327,16.655
1862,15.332,17.901,22.746,,,,,,,,,
1863,,,,,,,,,,,,
1864,,,,,,,,,,,,
1865,17.287,19.031,22.661,26.937,29.503,29.257,26.924,26.052,26.048,24.073,20.838,16.863
1866,17.224,18.834,23.022,27.506,29.919,28.815,27.153,25.955,25.745,23.598,20.313,17.792
1867,17.011,18.965,23.342,27.576,29.356,29.002,26.886,26.011,25.693,24.019,21.194,17.723
1868,16.346,18.506,22.925,27.525,29.913,28.847,26.882,26.182,25.785,24.29,20.111,16.897
1869,16.581,19.805,23.022,27.641,29.692,28.947,26.995,25.904,25.937,23.832,20.112,16.332
1870,16.51,18.711,23.23,27.566,30.15,28.782,26.588,25.423,25.516,23.732,20.086,16.128
1871,16.165,18.913,23.25,27.582,29.435,28.981,26.534,26.032,25.841,24.036,19.83,16.783
1872,16.469,18.654,23.876,27.342,29.562,28.741,26.615,25.727,25.574,24.024,20.055,16.883
1873,16.271,19.325,23.128,27.228,29.873,28.762,26.851,25.988,25.632,24.008,20.145,17.211
1874,16.268,19.066,22.575,27.611,29.463,28.725,26.666,26.026,25.55,24.408,20.685,16.668
1875,16.312,18.697,24.889,28.22,29.57,28.92,26.566,25.757,25.608,23.003,20.031,17.493
1876,16.989,19.176,23.687,27.541,30.01,29.635,26.58,25.937,25.334,23.16,19.915,16.747
1877,16.713,17.823,23.198,25.839,28.607,29.245,27.837,27.25,26.533,23.887,21.593,18.068
1878,16.421,20.25,24.427,27.205,28.485,30.349,27.407,26.214,26.356,24.908,20.819,16.732
1879,16.977,19.754,23.725,28.485,30.072,28.064,26.626,25.472,25.449,23.679,18.962,15.948
1880,16.969,18.473,25.279,28.576,29.532,28.683,26.06,26.25,25.552,24.311,19.941,16.703
1881,16.505,20.048,22.817,27.561,29.857,28.288,26.634,25.898,25.818,24.077,19.683,16.948
1882,17.5,18.677,24.403,27.314,28.806,27.966,25.87,25.854,25.64,23.831,19.63,17.571
1883,16.645,18.255,23.104,27.907,29.436,28.359,26.356,26.535,25.592,23.517,19.064,15.32
1884,16.231,18.258,24.038,27.013,29.532,28.623,26.527,25.842,25.247,22.723,18.692,16.162
1885,16.816,17.399,23.56,26.719,28.011,28.453,26.602,25.976,25.81,24.144,20.33,16.859
1886,16.46,18.399,23.481,27.305,29.333,28.286,26.298,25.924,26.031,24.463,20.621,17.137
1887,16.279,18.518,23.784,27.448,30.062,28.087,25.998,25.397,25.331,23.379,19.978,16.805
1888,15.716,18.912,24.513,27.886,29.386,29.188,26.423,25.681,25.871,23.928,20.342,16.586
1889,17.616,19.321,24.723,28.13,30.025,28.727,26.822,26.025,26.049,23.428,19.834,17.158
1890,17.122,19.845,23.896,27.79,29.95,28.113,25.692,25.275,25.557,23.61,20.016,17.515
1891,16.583,18.055,22.014,27.375,29.183,29.954,27.32,26.023,25.934,23.631,20.453,17.246
1892,17.621,19.994,24.809,29.378,30.172,28.556,26.768,25.578,25.382,23.693,19.384,16.543
1893,15.643,16.57,21.431,27.218,28.666,27.484,25.981,25.967,25.164,23.474,20.213,16.867
1894,16.849,19.819,23.497,27.478,30.165,28.334,26.176,25.688,25.646,23.942,19.677,17.029
1895,16.557,19.108,23.521,26.867,30.519,28.625,26.814,25.9,26.143,23.662,21.269,16.616
1896,16.9,19.769,24.66,28.822,30.707,28.757,27.2,26.02,26.452,24.853,21.296,17.417
1897,17.445,19.908,23.659,27.817,30.695,29.702,27.681,26.355,26.106,24.127,20.43,16.709
1898,16.897,18.688,23.92,28.917,30.043,29.207,26.681,26.133,25.725,24.304,20.619,17.632
1899,15.345,19.528,24.715,27.011,29.985,28.529,26.958,27.312,26.907,24.852,20.945,17.974
1900,17.385,20.05,24.958,27.672,29.772,29.928,27.609,26.493,25.643,23.674,21.122,18.108
1901,16.172,18.506,23.703,27.474,29.787,29.944,27.522,26.179,26.296,25.146,20.879,17.403
1902,17.719,19.867,25.17,27.848,30.26,29.534,27.214,26.967,25.887,24.213,20.255,16.89
1903,16.939,18.644,22.983,27.185,29.496,29.878,27.564,26.195,26.061,24.075,19.707,16.482
1904,16.723,19.177,23.349,28.047,29.465,28.616,26.408,26.085,25.904,24.244,19.988,17.096
1905,15.754,16.043,21.969,25.546,30.149,30.124,27.231,26.637,26.23,24.48,21.126,16.891
1906,16.315,18.395,22.443,27.78,30.947,28.841,27.041,26.192,25.791,24.247,21.004,17.661
1907,17.669,18.583,22.283,25.785,28.962,28.919,27.661,25.709,26.164,24.728,21.125,16.537
1908,16.417,19.246,23.22,28.495,29.963,29.695,26.375,25.649,25.751,24.058,19.831,16.203
1909,16.949,18.947,24.33,26.163,29.56,28.083,26.132,25.887,25.544,24.164,20.99,17.183
1910,16.613,19.175,23.656,27.272,29.873,28.268,26.461,25.956,25.724,23.633,19.419,16.48
1911,17.656,18.779,22.388,27.185,30.436,28.41,27.672,26.348,25.879,24.503,20.135,17.041
1912,17.237,20.148,23.552,27.244,30.203,30.139,27.001,26.04,25.765,24.246,19.889,16.621
1913,16.626,19.358,22.333,28.176,29.167,27.926,26.644,26.228,26.316,24.574,20.15,16.912
1914,17.441,19.372,23.091,26.634,29.852,28.936,26.629,26.016,25.994,23.83,21.017,17.094
1915,17.044,18.73,23.344,27.327,30.59,29.826,27.691,26.665,26.513,25.264,21.429,17.058
1916,17.013,18.953,24.942,28.04,30.005,27.827,26.899,26.024,25.878,24.091,19.943,16.291
1917,16.729,19.043,22.795,25.902,27.232,27.789,26.52,26.008,25.273,23.534,19.416,16.732
